indicator_id,state,score
IND_202,Nevada,25
IND_202,New Hampshire,75
IND_202,New Jersey,75
IND_202,New Mexico,0
IND_202,New York,75
IND_202,North Carolina,75
IND_202,North Dakota,0
IND_202,Ohio,75
IND_202,Oklahoma,50
IND_202,Oregon,50
IND_202,Pennsylvania,0
IND_202,Rhode Island,50
IND_202,South Carolina,50
IND_202,South Dakota,0
IND_202,Tennessee,0
IND_202,Texas,75
IND_202,Utah,100
IND_202,Vermont,75
IND_202,Virginia,25
IND_202,Washington,100
IND_202,West Virginia,75
IND_202,Wisconsin,0
IND_202,Wyoming,0
IND_203,Alabama,MODERATE
IND_203,Alaska,YES
IND_203,Arizona,MODERATE
IND_203,Arkansas,NO
IND_203,California,YES
IND_203,Colorado,No
IND_203,Connecticut,YES
IND_203,Delaware,NO
IND_203,Florida,NO
IND_203,Georgia,NO
IND_203,Hawaii,YES
IND_203,Idaho,MODERATE
IND_203,Illinois,MODERATE
IND_203,Indiana,MODERATE
IND_203,Iowa,YES
IND_203,Kansas,NO
IND_203,Kentucky,MODERATE
IND_203,Louisiana,NO
IND_203,Maine,MODERATE
IND_203,Maryland,YES
IND_203,Massachusetts,100
IND_203,Michigan,MODERATE
IND_203,Minnesota,YES
IND_203,Mississippi,YES
IND_203,Missouri,NO
IND_203,Montana,YES
IND_203,Nebraska,MODERATE
IND_203,Nevada,NO
IND_203,New Hampshire,YES
IND_203,New Jersey,YES
IND_203,New Mexico,NO
IND_203,New York,YES
IND_203,North Carolina,MODERATE
IND_203,North Dakota,NO
IND_203,Ohio,MODERATE
IND_203,Oklahoma,NO
IND_203,Oregon,MODERATE
IND_203,Pennsylvania,YES
IND_203,Rhode Island,YES
IND_203,South Carolina,YES
IND_203,South Dakota,MODERATE
IND_203,Tennessee,MODERATE
IND_203,Texas,NO
IND_203,Utah,MODERATE
IND_203,Vermont,YES
IND_203,Virginia,YES
IND_203,Washington,YES
IND_203,West Virginia,NO
IND_203,Wisconsin,YES
IND_203,Wyoming,NO
IND_204,Alabama,50
IND_204,Alaska,100
IND_204,Arizona,75
IND_204,Arkansas,0
IND_204,California,100
IND_204,Colorado,0
IND_204,Connecticut,75
IND_204,Delaware,0
IND_204,Florida,0
IND_204,Georgia,0
IND_204,Hawaii,50
IND_204,Idaho,0
IND_204,Illinois,50
IND_204,Indiana,50
IND_204,Iowa,100
IND_204,Kansas,0
IND_204,Kentucky,50
IND_204,Louisiana,25
IND_204,Maine,0
IND_204,Maryland,100
IND_204,Massachusetts,100
IND_204,Michigan,50
IND_204,Minnesota,50
IND_204,Mississippi,75
IND_204,Missouri,0
IND_204,Montana,50
IND_204,Nebraska,75
IND_204,Nevada,0
IND_204,New Hampshire,75
IND_204,New Jersey,100
IND_204,New Mexico,0
IND_204,New York,50
IND_204,North Carolina,50
IND_204,North Dakota,0
IND_204,Ohio,50
IND_204,Oklahoma,0
IND_204,Oregon,100
IND_204,Pennsylvania,50
IND_204,Rhode Island,100
IND_204,South Carolina,75
IND_204,South Dakota,0
IND_204,Tennessee,75
IND_204,Texas,25
IND_204,Utah,0
IND_204,Vermont,100
IND_204,Virginia,75
IND_204,Washington,50
IND_204,West Virginia,0
IND_204,Wisconsin,50
IND_204,Wyoming,0
IND_205,Alabama,75
IND_205,Alaska,100
IND_205,Arizona,100
IND_205,Arkansas,100
IND_205,California,100
IND_205,Colorado,100
IND_205,Connecticut,100
IND_205,Delaware,100
IND_205,Florida,100
IND_205,Georgia,100
IND_205,Hawaii,100
IND_205,Idaho,100
IND_205,Illinois,100
IND_205,Indiana,100
IND_205,Iowa,100
