filing_id	principal_id	state	filing_type	filer_role	reporting_period_start	reporting_period_end	total_expenditure	total_hours_communicating	total_hours_other	source_url
WI-principal-10969-expenditure-2025-H1	10969	WI	expenditure_report	client	2025-01-01	2025-06-30	26307.02	20.75	43.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10969
WI-principal-10969-expenditure-2025-H2	10969	WI	expenditure_report	client	2025-07-01	2025-12-31	36305.71	41.75	52.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10969
WI-principal-10970-expenditure-2025-H1	10970	WI	expenditure_report	client	2025-01-01	2025-06-30	2546.1	19.0	9.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10970
WI-principal-10970-expenditure-2025-H2	10970	WI	expenditure_report	client	2025-07-01	2025-12-31	104.0	1.0	0.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10970
WI-principal-10973-expenditure-2025-H1	10973	WI	expenditure_report	client	2025-01-01	2025-06-30	39000.0	0.0	44.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10973
WI-principal-10973-expenditure-2025-H2	10973	WI	expenditure_report	client	2025-07-01	2025-12-31	0.0	0.0	0.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10973
WI-principal-10975-expenditure-2025-H1	10975	WI	expenditure_report	client	2025-01-01	2025-06-30	1165.19	7.0	11.25	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10975
WI-principal-10975-expenditure-2025-H2	10975	WI	expenditure_report	client	2025-07-01	2025-12-31	0.0	0.0	0.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10975
WI-principal-10976-expenditure-2025-H1	10976	WI	expenditure_report	client	2025-01-01	2025-06-30	9000.0	0.0	20.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10976
WI-principal-10976-expenditure-2025-H2	10976	WI	expenditure_report	client	2025-07-01	2025-12-31	9000.0	9.5	42.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10976
WI-principal-10977-expenditure-2025-H1	10977	WI	expenditure_report	client	2025-01-01	2025-06-30	9000.0	6.0	25.25	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10977
WI-principal-10977-expenditure-2025-H2	10977	WI	expenditure_report	client	2025-07-01	2025-12-31	9000.0	0.0	27.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10977
WI-principal-10978-expenditure-2025-H1	10978	WI	expenditure_report	client	2025-01-01	2025-06-30	51000.0	37.0	50.65	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10978
WI-principal-10978-expenditure-2025-H2	10978	WI	expenditure_report	client	2025-07-01	2025-12-31	36000.0	12.65	30.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10978
WI-principal-10979-expenditure-2025-H1	10979	WI	expenditure_report	client	2025-01-01	2025-06-30	6211.13	54.15	72.6	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10979
WI-principal-10979-expenditure-2025-H2	10979	WI	expenditure_report	client	2025-07-01	2025-12-31	2857.7	13.0	30.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10979
WI-principal-10980-expenditure-2025-H1	10980	WI	expenditure_report	client	2025-01-01	2025-06-30	836.4	2.0	12.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10980
WI-principal-10980-expenditure-2025-H2	10980	WI	expenditure_report	client	2025-07-01	2025-12-31	0.0	1.5	7.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10980
WI-principal-10984-expenditure-2025-H1	10984	WI	expenditure_report	client	2025-01-01	2025-06-30	75391.81	64.5	195.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10984
WI-principal-10984-expenditure-2025-H2	10984	WI	expenditure_report	client	2025-07-01	2025-12-31	64971.48	38.95	140.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10984
