filing_id	lobbyist_id	state	filing_type	filer_role	reporting_period_start	reporting_period_end	total_hours_communicating	total_hours_other	source_url
WI-lobbyist-11056-activity-2026-H1	11056	WI	activity_report	lobbyist	2026-01-01	2026-06-30	41.0	284.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11056
WI-lobbyist-11056-activity-2026-H2	11056	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11056
WI-lobbyist-11057-activity-2025-H1	11057	WI	activity_report	lobbyist	2025-01-01	2025-06-30	69.5	220.75	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11057
WI-lobbyist-11057-activity-2025-H2	11057	WI	activity_report	lobbyist	2025-07-01	2025-12-31	58.5	184.25	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11057
WI-lobbyist-11057-activity-2026-H1	11057	WI	activity_report	lobbyist	2026-01-01	2026-06-30	4.25	5.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11057
WI-lobbyist-11057-activity-2026-H2	11057	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11057
WI-lobbyist-11058-activity-2025-H1	11058	WI	activity_report	lobbyist	2025-01-01	2025-06-30	105.0	130.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11058
WI-lobbyist-11058-activity-2025-H2	11058	WI	activity_report	lobbyist	2025-07-01	2025-12-31	28.75	76.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11058
WI-lobbyist-11058-activity-2026-H1	11058	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11058
WI-lobbyist-11058-activity-2026-H2	11058	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11058
WI-lobbyist-11060-activity-2025-H1	11060	WI	activity_report	lobbyist	2025-01-01	2025-06-30	22.25	93.25	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11060
WI-lobbyist-11060-activity-2025-H2	11060	WI	activity_report	lobbyist	2025-07-01	2025-12-31	9.0	48.25	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11060
WI-lobbyist-11060-activity-2026-H1	11060	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11060
WI-lobbyist-11060-activity-2026-H2	11060	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11060
WI-lobbyist-11061-activity-2025-H1	11061	WI	activity_report	lobbyist	2025-01-01	2025-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11061
WI-lobbyist-11061-activity-2025-H2	11061	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11061
WI-lobbyist-11061-activity-2026-H1	11061	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11061
WI-lobbyist-11061-activity-2026-H2	11061	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11061
WI-lobbyist-11062-activity-2025-H1	11062	WI	activity_report	lobbyist	2025-01-01	2025-06-30	20.74	14.75	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11062
WI-lobbyist-11062-activity-2025-H2	11062	WI	activity_report	lobbyist	2025-07-01	2025-12-31	24.0	16.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11062
WI-lobbyist-11062-activity-2026-H1	11062	WI	activity_report	lobbyist	2026-01-01	2026-06-30	19.5	11.25	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11062
