column	flag	jurisdiction	n_matched	offset_px	raw	scan_page	table
review_desk_or_field_all	unknown_marker	Hawaii			®	169	30
review_desk_over_threshold	unknown_marker	Hawaii			—_—	169	30
review_field_random	unknown_marker	Hawaii			—_—	169	30
public_access_unrestricted	unknown_marker	Idaho			N.A.	169	30
public_access_restricted	unknown_marker	Idaho			N.A.	169	30
public_access_not_available	unknown_marker	Idaho			N.A.	169	30
public_access_agency_compiles_publishes	unknown_marker	Idaho			N.A.	169	30
review_desk_all	unknown_marker	Illinois			N.A.	169	30
review_field_all	unknown_marker	Illinois			N.A	169	30
review_desk_or_field_all	unknown_marker	Illinois			N.A.	169	30
review_desk_over_threshold	unknown_marker	Illinois			N.A.	169	30
review_field_over_threshold	unknown_marker	Illinois			N.A.	169	30
review_desk_or_field_over_threshold	unknown_marker	Illinois			N.A.	169	30
review_desk_random	unknown_marker	Illinois			N.A.	169	30
review_field_random	unknown_marker	Illinois			N.A	169	30
review_desk_complaints	unknown_marker	Illinois			N.A.	169	30
review_field_complaints	unknown_marker	Illinois			N.A. —_—	169	30
public_access_not_available	unknown_marker	Illinois			—~	169	30
review_desk_over_threshold	unknown_marker	Indiana			—_—	169	30
review_field_over_threshold	unknown_marker	Indiana			—_—	169	30
review_desk_or_field_over_threshold	unknown_marker	Indiana			—_—	169	30
review_field_random	unknown_marker	Indiana			—_	169	30
public_access_unrestricted	unknown_marker	Indiana			‘	169	30
review_desk_over_threshold	unknown_marker	Iowa			~	169	30
public_access_agency_compiles_publishes	unknown_marker	Iowa			‘	169	30
review_field_complaints	unknown_marker	Kansas			N.A.	169	30
public_access_agency_compiles_publishes	unknown_marker	Kansas			N.A.	169	30
review_desk_all	unknown_marker	Kentucky			N.A	169	30
review_field_all	unknown_marker	Kentucky			N.A.	169	30
review_desk_or_field_all	unknown_marker	Kentucky			N.A	169	30
review_desk_over_threshold	unknown_marker	Kentucky			N.A.	169	30
review_field_over_threshold	unknown_marker	Kentucky			N.A	169	30
review_desk_or_field_over_threshold	unknown_marker	Kentucky			N.A.	169	30
review_desk_random	unknown_marker	Kentucky			N.A	169	30
review_field_random	unknown_marker	Kentucky			N.A.	169	30
review_desk_or_field_random	unknown_marker	Kentucky			N.A.	169	30
review_desk_complaints	unknown_marker	Kentucky			N.A. —_—	169	30
